pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
28-59,TYPE4,TYPE4,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE4,TYPE4,TYPE4,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-6,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-60,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-61,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-62,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-63,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-64,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-65,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-66,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-67,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-68,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-69,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-7,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-70,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-71,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-72,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE5,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-73,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-74,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-75,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-76,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-77,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-78,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-79,,,,,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-8,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-80,,,,,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-81,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-82,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
28-83,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-84,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
28-9,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
29-14,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
29-18,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-19,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
29-2,,,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3
29-20,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-22,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
29-26,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
29-28,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-32,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-38,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-39,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3
29-40,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-43,,,,,,,,,,,,,,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-44,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-46,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-47,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-48,TYPE3,TYPE3,TYPE4,TYPE4,TYPE4,TYPE4,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
29-53,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
29-54,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-6,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-62,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-65,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-66,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-67,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-68,TYPE4,TYPE4,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-71,,,,,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-72,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
29-76,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-77,,,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
29-78,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-79,,,,,,,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
29-84,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-10,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-14,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-17,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
3-18,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
3-2,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-20,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-22,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-23,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-25,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-26,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-28,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-30,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
3-37,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-39,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-4,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-42,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-44,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-46,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-47,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
3-51,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
3-55,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
3-6,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-60,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-65,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-67,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-69,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-71,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-72,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-84,,,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
3-9,TYPE1,TYPE1,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
30-14,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
30-18,TYPE5,TYPE5,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
30-19,TYPE4,TYPE4,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
30-2,,,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
30-20,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
30-21,,,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3
30-22,TYPE3,TYPE3,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3
30-23,TYPE4,TYPE4,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE3,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
30-26,,,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1,TYPE1
30-32,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
30-36,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
30-38,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
30-40,TYPE4,TYPE4,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2
30-41,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
30-42,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5,TYPE5
30-44,TYPE4,TYPE4,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE2,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4,TYPE4
